Código;Item;Estoque;Reservas;Preço;Localização;Código Adicional 1;Código Adicional 2;Código Adicional 3;Código Adicional 4;Código Adicional 5
01543-11360T;INT. KOMBI 1.4 06... REF AGUA;2.0;0.0;485.25;G/15;11360T;60153W;VW0111M;;
AB0001-ML;DISCO CORTE NORTON CLASS 115 (4.1/2)X 1.0 X 22.23 ;62.0;0.0;4.5;A/5 - 3 ;6783;;;;
02800-10886T;INT. NISSAN VERSA 1.6 16V 2012/.... 1.0 12V 2012/.;3.0;0.0;1409.46;B/A - 10 *;10886T;84120W-NF;DV6406M;;
16616T-45602SP;CAT. VECTRA  2.0  8V 96/04 2.2 MARÇO 98/2004;0.0;0.0;0.0;;;;;;
57132SP;CAT. ECOSPORT/FIESTA 1.0/1.6 2004/2008 ROCAN;0.0;0.0;0.0;H-07;16637T;;;;
11894T;SIL. VOYAGE 1.0 12V 3CIL 2017/2023 FLEX;0.0;0.0;0.0;;;;;;
47509SP;CAT. S10  2.4 /S10 2008/2010  C/TB MOTOR;0.0;0.0;0.0;H-05 ;;;;;
16691T;CAT. COROLLA 1.8 16V 2009/ FLEX C/ 2  CATAL. E SON;0.0;0.0;0.0;H-16;;16691T;;;
25601SP;CAT. DOBLO 1.8 8V 2004/2005 C/ TUBO MOTOR;0.0;0.0;0.0;H-20;;;;;
16711T-97626SPW;CAT. RENAULT MEGANE/GRAN TOUR 1.6 07/2013 2.0 05/2;0.0;0.0;0.0;H-15;;;;;
16712T-87412SP;CAT. C4 1.6V 16 HACTH 07/11 PEUGEOT 307 1.6/16V ;0.0;0.0;0.0;H-26;87412SP;16712T;;6219;10340
147506W;CAT. S-10 2.4 2013/.2016/TUBO MOTOR ;1.0;0.0;0.0;SL/49;;;;;
16734T;CAT. S10 2.4 2013/.... CAB.SIMPLES/DUPLA ;0.0;0.0;0.0;SL/49;;;;;
10046T;INT. FUSION 2.3 16V 2006...;1.0;0.0;0.0;F/13;;;;;
47861SPW-16737T;CAT. PRISMA/ONIX 1.4 1.0 8V 2013/... SECUNDARIO;0.0;0.0;0.0;H-09;;;;;
67620SPW;CAT. POLO/ VIRTUS MSI 1.6 16V 2017/.......;0.0;0.0;0.0;;;;;;
5709-T;CAT. NISSAN MARCH/VERSA 1.6 16V 2012/ C/ 2 CAT E @;0.0;0.0;0.0;H-19;16751;87820SP;DV6414C;;
5706-T;CAT. NISSAN MARCH/VERSA  1.0 12V FLEX 2012/...SEC@;1.0;0.0;0.0;H-20;16752T;87806SP;;;
27455SP;CAT. LINEA 1.9 16V 2009/2011 C/COLETOR;0.0;0.0;0.0;;;;;;
5902-T;CAT. PEUGEOT 206 HACTH/SW 1.6 16V 2002/2009 @;1.0;0.0;0.0;H-28;16824;87404;PG6806C;;
117424WR;CAT. NEW CIVIC 1.8 06/06 a 02/12 S/ EGR SAIDA CURT;0.0;0.0;0.0;H-10;17424SP;117424W;;10336OG;
27462SP-16851T;CAT. PALIO/GRAN SIENA 1.4 EVO 12/14 C/COL S/FL;1.0;0.0;0.0;H-13;27462SP;16851T;FT4427C;------------------;104120G
16865T;CAT. PEUGEOT 206 SW 1.4 8V  2004/2009 ;0.0;0.0;0.0;;;;;;
57465-16870T;CAT. ECOSPORT 1.6 SIGMA 2013/2017 C/COL. NEW FIEST;0.0;0.0;0.0;H-05 ;;;;;
01706-19364T-10115SP;INT. HONDA CIVIC 1.7 16V 01/06 C/FLANGE C/ABAFADOR;2.0;0.0;513.85;B/A - 09 *;19364T;10115W-NF;HO6207M;;
5704T;CAT. HB20 1.6 16V 12/15 CRETA 18 CERATO 1.6 13/17;0.0;0.0;825.0;H-16;16872T;87503W;HY7506C;20140;
18401SP;CAT. DE OXIDAÇÃO DIESEL MOTOR ATÉ 3.9LTS UNIVERSAL;0.0;0.0;0.0;;;;;;
25121SP;CAT. STILO 1.4 1.8 8/16V  2002/2005;0.0;0.0;0.0;;;;;;
25902SP;CAT. PALIO/SIENA 1.0 8V MAIO 02/DEZ04 ;0.0;0.0;0.0;;;;;;
27451SP;CAT. PALIO/IDEA/DOBLO/FIORINO  ECONOMY 09/14;0.0;0.0;0.0;H-11;;;;;
SA859-1;Parafuso Gaxeta Mola De Escape Gm Chevrolet Celta ;0.0;0.0;0.0;;;;;;
47472SP-16112T;CAT. COBALT 1.8 8V 2012/.. SPIN - SECUNDÁRIO ;0.0;0.0;0.0;H-13;47472SP;16112;GM2616C;5305;--------------------
55302SP;CAT. FIESTA 1.6 99/2002 CURIER 1.6 99/2001;0.0;0.0;0.0;C/84;;;;;
57454SP;CAT. COURIER 1.6 8V 09/13 C/COLETOR;0.0;0.0;0.0;;;;;;
5632;CAT. FORD KA 1.0/1.6 8V 2008/2013 PESCOÇO CURTO @;1.0;0.0;0.0;H-12;16860T;57462;FR3408C;;
01246-10153T;INT. FOCUS 1.6 2.0 03... ROCAM C/ 2 ABAFADORES;2.0;0.0;845.43;G/1 *;10153T;50141W;FR3101J;;
67802SP;CAT. SANTANA/QUANTUM 1.8 1997/2002 C/TB MOTOR;0.0;0.0;0.0;;;;;;
16746T;CAT. UP 1.0 12V 2   TSI   2016/......;0.0;0.0;0.0;;;;;;
85406SP-16705T;CAT. CITROEN XSARA PIXASSO 1.6 16V 01/12 SEM SONDA;1.0;0.0;0.0;H-19;;;;;
85601SP;CAT. XSARA PICASSO 2.0 16V 2001/2006;0.0;0.0;0.0;;;;;;
6201-T;CAT. PEUGEOT 208 TDS 2013... AIRCROS/ C3 (OBS)@;1.0;0.0;0.0;H-20;16672T;87484SP;CT6923C;6201;10397OG
5705;CAT. HB 20 1.0 3 CIL 2015/2019  SECUNDARIO @;1.0;0.0;850.77;H-08;16761T;87706W;HY7501C;;
87768SPW;CAT. HB20 CRETA 1.6 16V 16/19 SECUNDARIO;0.0;0.0;0.0;;;;;;
117422W;CAT. HONDA CITY 1.5 10/... / FIT 1.4 09/14 C/ERG;0.0;0.0;0.0;H-11;;;;;
19693T;"SIL UNIVERSAL TURBÃO  ENT. 1.7/8"" SAIDA 2.1/2"" ";1.0;0.0;263.9;B/1-56;19693T;;;;
97529SPW-16741T;CAT. RENAULT DUSTER 2.0 16V 2012 4X2 FLANGE TRES @;1.0;0.0;0.0;H-24;16471T;97529SP;;;
01257-10424T-50158SP;INT. FOCUS 1.6 2.0 16V HATCH / SEDAN 11...;0.0;0.0;725.97;C/31 ;10424T;50158M;FR3112M;;
5819-97630SP;CAT. RENAULT DUSTER 2.0 16V 4WD 2012 / 2016 4X4;0.0;0.0;0.0;H-18;5819;16742T;97630SP;;
00025-42CT;CONJ. SIL. CORCEL II / DEL REY 78/84;2.0;0.0;490.4;G/7 ;42CT;51530W;FR3001J-3002J;;
00039-42BT;CONJ. SIL. CORCEL II / DEL REY 85/...;1.0;0.0;553.29;G/6;42BT;51530W;FR3001J;;
00185-216CT-61101W;CONJ. SIL. GOL 1.6 AGUA 85/91;1.0;0.0;410.23;D/13 ;216C;61101W;VW0411T;;1674N
DFX101-5;KIT 5 DISCOS DISFLEX;10.0;0.0;418.6;D/13 ;;;;;
00186-285T;CONJ. SIL. VOY/PARATI/SAVEIRO 1.8 .../91;2.0;0.0;515.25;BA/19;;285CT;;;
KT4306-1;Flexível Gol Saveiro Voyage G5 G6 E Fox;5.0;0.0;550.4;BA/19;;;;;
00230-216AT;CONJ. SIL. VOY/PARATI/SAVEIRO 1.6 .../91;2.0;0.0;401.35;E/9 ;216A;61102W;VW0412T;;1684N
KT101;Kit 2 Juntas E Abraçadeiras Vw Fusca Com Porca E;0.0;0.0;0.0;E/9 ;;;;;
00440-254T;CONJ. SIL. GOL 1.0 PLUS 95/96;2.0;0.0;520.26;E/4 ;254T;61502W;VW0402T;;1520N
01840-10433T;INT. RENAULT DUSTER 2.0 12.. 4X4;2.0;0.0;452.23;F/6;10433T;;;;
10942T-FT4436M;INT. ARGO 1.0 3CC 2017/....FIREFLY;2.0;0.0;833.52;E/4 ;10942T;520186W-NF;FT4436M;;
00442-11057T;CONJ. SIL. VOY/PART/SAV 1.8 92/96 VEJA 985;2.0;0.0;648.32;F/13 ;11057T;61110W-NF;VW0424T;;
KT216;Kit Borracha Coxim Escapamento Fiat Palio;5.0;0.0;665.4;BA/27;;;;;
00534-61105W-286T;CONJ. SIL. GOL 1.8 .../91;4.0;0.0;538.43;BA/27;286T;61105W;VW0405M;;
00545-279T;CONJ. SIL. VOY/PARATI/SAVEIRO 1.6 92/95;2.0;0.0;460.23;G/8 ;279T;61104W;VW0413T;;1654N
KT974;KIT 100 Parafusos Sextavados Zincado M8X40mm;0.0;0.0;0.0;G/8*;;;;;
00555-61103W-231T;CONJ. SIL. GOL 1.0 1.6 92/94;2.0;0.0;473.25;BA/16;231T;61103W;VW0401T;;1664N
KT4307;Tubo Intermediário Com Flexível Coxim Hyundai Hb20;5.0;0.0;475.6;BA/6;;;;;
00589-228T;CONJ. SIL. GOL 1.8 92/94;2.0;0.0;505.26;F/12 ;228T;61107W-NF;VW0415T;;
00590-287T;CONJ. SIL. VOY/PARATI/SAVEIRO 1.8 92/95 VEJA 985;2.0;0.0;565.29;G/ 13*;;;;;
10442T-GM2413M;INT. CAPTIVA 2.4 16V 2011 ...;0.0;0.0;846.77;G/9;10442T;;GM2413M;;
00985-11057T;CONJ. SIL. SAVEIRO 1.6 95 VEJA442;0.0;0.0;648.32;G/11 ;11057T;61110W-NF;VW0424T;;
00996A-11185T;CONJ. SIL. GOL MI C/2 SUPORTES;6.0;0.0;535.26;E/1;11185T;61524W;VW0458T;;1920N
KT272;Kit 4 Coxins De Escapamento Ford Courrier Traseiro;3.0;0.0;538.6;E/2;;;;;
00997-11152T;CONJ. SIL. GOL 1.0 8V GIII ;2.0;0.0;561.29;G/7 *;11152T;61509W;VW0405T;;
10943T;SIL. ARGO 1.0 3CC 2017/......;1.0;0.0;890.47;BA/CIMA 2;10943T;521586W;FT4432T;;
01534-61923;CONJ. SIL. GOL 1.0 16V/1.6/1.8 GII;5.0;0.0;974.4;G/6* ;11120T;61923W-NF;VW0404J;;
66701-16026T;CAT.  AUTOLATINA OPCIONAL  TODOS  1993/1996 ;0.0;0.0;0.0;H-08;66701SP;16026T;VW0404C;5206;10000B
10909T-RN6040M;INT. RENAULT SANDERO 1.0 L1 12V DOHC L3 2017/2020;1.0;0.0;478.72;C/45;10909T;;RN6040M;;
AA25;CONJ. SIL. GOL 1.0 8V SET 98/JUN 2005;0.0;0.0;902.4;E/10 ;;;;;
01545-61929;CONJ. SIL. SAVEIRO 1.6/1.8/2.0 97;0.0;0.0;974.4;F/10* ;;;;;
10444T-DV6405M;INT. NISSAN MARCH 1.0/1.6 16V 2012/15  ;1.0;0.0;994.4;C/1;;;;;
01546-61908;CONJ. SIL. GOL 1.6 1.8 2.0 94/96;1.0;0.0;974.4;F/9 * ;11121T;61908W-NF;VW0412J;;
AB0006;"DISCO FLAP G-40 4.1/2 "" X 1.0 X 22.23  NORTON BASI";-33.0;0.0;8.77;E/10 *;;;;;
03940;CONJ. SIL. RENAULT CLIO 1.0 8V 99/02;1.0;0.0;400.6;BA/17;;;;;
GR010;SAPATA ELEVADOR REDONDA S/ ENCAIXE PAR 155MM*;38.0;0.0;152.0;;GR010;;;;
GR012;SAPATA ELEVADOR R. C/ ENCAIXE PAR 120MM*;0.0;0.0;152.0;;GR012;30009;;;
GR013;SAPATA  ELEVADOR R. S/ ENCAIXE 120MM* (ELEVACAR);79.0;0.0;152.0;;GR013;30008;;;
GR014;SAPATA  ELEVADOR R. ENCAIXE COPO 114MM* (AUTOBOX);57.0;0.0;152.0;;GR014;;;;
SA040;COXIM UNIVERSAL PARA ESCAPAMENTO 3 furos;49.0;0.0;14.5;;GR040;;;;
SA140;COXIM INTER. UNO MILLE FIRE/ DOBLO FIRE++;24.0;0.0;7.9;;30044;GR140;DV9769V;113140;
SA141;COXIM INTER. STILLO++;38.0;0.0;9.8;;;GR141;DV9903V;;
10447T;INT. CHERY QQ 1.1/1.0 12V 69CV 2011/2015;1.0;0.0;497.4;C-1 ;10447T;;;;
SA142;COXIM TRAS. STILLO++;1.0;0.0;29.9;;GR142;;;;
SA200;ANEL SIL. OPALA/CHEVETE/ GOL (MEDIO)62MM++;-373.0;0.0;3.9;;MS30013;GR302;;13402SP;
SA201;COXIM TRAS. ABAFADOR CHEVETTE++;48.0;0.0;4.9;;30027;GR301;;13301SP;
SA202;COXIM TRAS. MONZA/KADETT/ CORSA PICK-UP++;20.0;0.0;6.2;;MS30051;GR303;;;
SA203;COXIM TRAS. MONZA .../90++;-1.0;0.0;7.9;;;GR309;DV9093V;;
SA207;COXIM TRAS. GM  CORSA/ CELTA/ ASTRA/ ZAFIRA++;-267.0;0.0;14.0;;30015;GR311;DV9116V;13311;
SA208;COXIM INTER. VECTRA/ OMEGA/ S10/ MONZA++;110.0;0.0;12.0;;30020;GR312;;113312;
SA209;COXIM TRAS. OMEGA/ VECTRA .../96 S10 6CC++;44.0;0.0;8.95;;MS30025;GR310;;;
SA210;BATENTE SIL. ASSOALHO MONZA/CHEVETTE ++;55.0;0.0;12.0;;;GR314;;;
SA211;COXIM TRAS. FOCUS 08/13++;40.0;0.0;15.0;;;GR208;;;
02302-GM2412M-10539T;INT. CAPTIVA 2.4 16V 2009/2010;2.0;0.0;839.4;E/9 ;10539T;;GM2412M;;
SA212;COXIM TRAS. DUCATO;9.0;0.0;17.0;;;GR413-;;;
SA213;COXIM TRAS. PALIO WEEKEND/ STRADA++;44.0;0.0;8.9;;MS30050;GR110;;13110SP;
SA214;COXIM TRAS. S-10/ BLAZER 6CC RANGER++;15.0;0.0;50.0;;MS30026;GR316;;13316SP;
SA215;COXIM INTER. PALIO/ SIENA/ STRADA/ WEEKEND++;54.0;0.0;6.8;;30022;GR108;DV9083V;113108;
SA216;COXIM TRAS. PALIO/ SIENA/ STRADA/ WEEKEND++;-68.0;0.0;4.9;;30021;GR109;DV9084V;13809SP;
SA217;BATENTE SIL. GOL/SAV 94/98;14.0;0.0;8.0;;;GR414;;;
SA218;COXIM TRAS. FIESTA/ ECOSPORT/ KA/ ZETEC ++;109.0;0.0;7.9;;30046;205;DV9085V;;
SA219;COXIM INTER. CORSA/CELTA/ZAFIRA/PRISMA ++;138.0;0.0;13.23;;30043;GR317;DV9116V;;
SA220;CARRETEL CORCEL II / PAJERO TR4 GRANDE++;-13.0;0.0;19.8;;;GR201;;;
SA221;CARRETEL CORCEL II PEQUENO++;91.0;0.0;25.0;;;GR202;;;
01568-11248T;INT. FOX 1.0 FLEX 03/08;0.0;0.0;425.22;C/35 ;11195T-11248T;60149W;VW0319M-VW320M;;
11902T;TUBO TERM HILUX 3.0 16V 2005/2015;0.0;0.0;550.4;C/87 ;;;;;
SA222;COXIM TRAS. ESCORT/ VERONA/ KOMBI (BORRACHÃO)++;146.0;0.0;9.8;;30041;203;DV9107V;13203;
SA224;COXIM INTER. ESCORT/VERONA PEQUENO++;50.0;0.0;6.7;;;GR204;DV9089V;13204SP;
SA239;COXIM TRAS. ECOSPORT/ FOCUS ++;-16.0;0.0;18.0;H-21;30046;GR239;;113239;
SA240;COXIM TRAS. GOL/VOYAGE/SANTANA (CAVEIRINHA)++;826.0;0.0;2.5;;30012;GR401;;;
SA241;ANEL SIL. SANTANA/GOL/UNO (PEQUENO)56MM++;408.0;0.0;4.41;;MS30018;GR402;;13402SP;
SA242;COXIM TRAS. LOGUS/ SANTANA/ SAVEIRO (CAVEIRONA)++;-795.0;0.0;4.9;;MS30011;GR413;DV9723V;13413SP;
SA245;BATENTE SIL. GOL A AR/PST/SAV;132.0;0.0;8.1;;;GR341;;;
SA246;BATENTE SIL. GOL/PST/SAV. TRAS BICO FINO ;20.0;0.0;8.6;;;GR410;;;
SA247;BATENTE SIL. SANTANA/ QUANTUM ;3.0;0.0;8.6;;;GR412;;;
SA251;COXIM TRAS. STRADA/ NOVO PALIO/ SIENA+;-62.0;0.0;14.85;;30045;GR112;;;
01364-10762T;INT. VECTRA 2.0 2.4 2009/2011 SEDAN;2.0;0.0;600.3;B/A - 09 *;10762T;40164W;GM2224M;;
SA252;COXIM INTER. MAREA/ BRAVA/ WEEKEND +;29.0;0.0;15.0;;;GR120;DV9117V;113120;
SA253;COXIM INTER. MAREA/ TIPO/ BRAVA +;375.0;0.0;5.6;;30053;GR106;;113106;
SA254;COXIM INTER. MERCEDES 606/ 912/ SPRINTER ;53.0;0.0;19.0;;;GR504;;;
SA260;COXIM TRAS. FIAT 147/ FIORINO/ OGGI +;28.0;0.0;15.7;;;GR101;;;
SA262;ANEL SIL. FIAT 147/UNO (GRANDE)68mm++;-167.0;4.0;2.8;;MS30017;GR103;;13103SP;
SA263;COXIM TRAS. UNO/ ELBA/ PREMIO/ MAREA+;-292.0;0.0;3.9;;30019;GR105;DV9111V;;
SA264;COXIM INTER. UNO/ PREMIO/ TEMPRA (CANOINHA)+;-134.0;0.0;4.9;;30014;GR102;DV9114V;;
SA267;COXIM TRAS. TIPO/ UNO FIRE+;36.0;0.0;9.8;;;GR107;;;
SA268;COXIM INTER. GOL/PARATI/SAVEIRO GIII+;-19.0;0.0;9.8;;30049;GR418;DV9080V;113418;
SA269;COXIM TRAS. GOL/ PARATI/SAVEIRO GIII ( FORMATO Y)+;-30.0;0.0;14.9;;30048;GR419;DV9081V;;
10806T;INT. S-10 2.5 DIESEL 97 TURBO CABINE SIMPLES;1.0;0.0;364.4;SL/6;10806T;;;;
SA270;COXIM TRAS. SPRINTER 97/.......;9.0;0.0;22.15;;MS30080;GR502;;;
SA272;COXIM TRAS. KA/ COURRIER/ FIESTA +;84.0;0.0;4.9;;30047;GR206;DV9082V;;113206W
SA273;COXIM TRAS. BESTA/ TOPIC/ TOWNER+;57.0;0.0;9.0;;;GR601;;;
SA275;COXIM TRAS. ASTRA/ VECTRA 96/...+;-174.0;0.0;7.5;;30040;GR315;DV9087V;13315;
SA276;COXIM INTER. MONDEO/ COURRIER/ KA/ ESCORT+;51.0;0.0;12.45;;MS30038;GR207;DV9886V;113207;
SA278;COXIM CENTRAL PEUGEOT 206 DUCATO 2001 .......+;-207.0;0.0;8.7;;30042;GR701;DV9554V;;
SA279;COXIM TRAS. PEUGEOT (TODOS)+;443.0;0.0;9.8;H-28;MS30054;GR702;;;
SA280;COXIM TRAS. FOCUS/ FIESTA+;156.0;0.0;15.5;;30039;;DV9947V;113212;
SA283;COXIM TRAS. GOLF 99/... POLO+;17.0;0.0;55.0;;;GR416;;13416;
SA289;COXIM INTER. FIORINO/STRADA/UNO SMART+;-33.0;0.0;5.9;;30052;GR111;;;
01369-10823T-41270;INT. BLAZER 2.5 DIESEL TURBO;5.0;0.0;590.4;SL/6;10823T;41270W-NF;GM2802E;;
SA290;COXIM INTER./TRAS. RENAULT CLIO/ SCENIC/ MEGANE+;47.0;0.0;7.55;;30065;GR602;DV9077V;;
SA291;COXIM TRAS. CITROEN XSARA/ PICASSO+;25.0;0.0;15.0;;;GR801;;;
SA308;COXIM INTER. CRUZE 1.8 2012/2016 TDS++;21.0;0.0;49.7;;;GR384;DV9961V;;
SA318;COXIM TRAS. COBALT/ ONIX/ SPIN/ SONIC+;169.0;0.0;17.2;;30023;GR318;DV9783V;113114;
SA319;COXIM INTER. COBALT/ONIX/PRISMA/SONIC+;99.0;0.0;12.7;;30024;GR319;DV9784V;113113;
SA420;COXIM TRAS. GOLF/ JETTA/ NEW BEETLE/ AUDI;26.0;0.0;9.7;;;GR420;;;
SA433;COXIM TRAS. GOLF/AUDI A3 00/...++;14.0;0.0;34.7;;;GR433;;13433SP;
SA464;COXIM TRAS. POLO/ FOX/ CROSFOX 02/...+;25.0;0.0;9.8;;MS30016;GR464;;13464;
SA470;COXIM TRAS. GOLF 1.6/2.0 99/03 C/SUPORTE+;11.0;0.0;55.0;;;GR470;;;
SA472;COXIM TRAS. SAVEIRO CROSS GV E GVI+;65.0;0.0;29.8;;;GR472;;;
01834-10894T;INT. RENAULT LOGAN 1.0 16V 15/17 SAND 08/17 35mm  ;2.0;0.0;339.89;D/5;10894T;;VW0325;;
SA505;COXIM TRAS. MERCEDES CLASSE A;30.0;0.0;12.0;;;GR505;;;
SA602;COXIM TRAS. CITROEN C3+;18.0;0.0;32.0;;;GR805;;;
SA603;COXIM TRAS. RENAULT CLIO/ SCENIC/ MEGANE/MASTER12+;44.0;0.0;9.8;;MS30065;GR603;;;
SA609;COXIM INTER. RENAULT DUSTER 11/.. SAND/LOGAN 07/.+;16.0;0.0;17.4;;;GR609;DV9787V;;
SA610;COXIM TRAS RENAULT CLIO/MEG/SCENIC/SYM 1.6 16V 09+;10.0;0.0;54.0;;;GR610;DV9552V;;
SA612;COXIM TRAS. RENAULT MEGANE GRANDTOUR+;1.0;0.0;408.0;;8200035448;;;;
SA618;COXIM INTER. RENAULT CLIO/SEDAN+;26.0;0.0;26.0;;;GR613;DV9772V;;
SA706;COXIM TRAS. PEUGEOT 307 2001...+;35.0;0.0;32.0;H-18;;GR705;DV9799V;;
SA941;COXIM INTER. HB20 /ELANTRA / VELOSTER;2.0;0.0;0.0;;30099;GR705;;;
SA714;COXIM TRAS. NISSAN LIVINA/ MARCH/ VERSA+;33.0;0.0;8.75;;;GR614;;;
10901T-DV6525M;INTER. JEEP RENEGADE 1.8 4X2 FLEX 15/21;1.0;0.0;420.47;C/86 ;10901T;;DV6525M;;
SA715;COXIM TRAS. HYUNDAI TUCSON/ IX35/ HR/ VERACRUZ+;32.0;0.0;12.7;;;GR915;;;
SA717;COXIM TRAS. RENAULT DUSTER  11/.. SAND/LOGAN 07/.+;39.0;0.0;9.8;;;GR617;DV9788V;;
SA724;COXIM INTER. TUCSON- 05/  HRV-04/  HB20 12/  IX35 ;33.0;0.0;27.0;;;GR914;;;
SA733;COXIM INTER. CITY 09/ FIT 09/  HRV 16/+;8.0;0.0;12.9;;;GR936;DV9888V;;
SA804A;COXIM INTER.TRAS. CITROEN C3 04/...;0.0;0.0;32.0;;;GR804;DV9781V;;
SA819;BUCHA DO SUPORTE C/TUBINHO GOL/PASSAT++;53.0;0.0;9.8;;;GR409;;;
SA833;COXIM INTER. CITROEN C3/ PICASSO+;34.0;0.0;12.7;;;GR803;;;
SA846;COXIM DIANT/TRAS CITY 09/  FIT 09/  HRV 16/ +;16.0;0.0;15.5;;;GR926;DV9890V;;
SA891;COXIM TRAS. MITSUBISHI L-200 +;36.0;0.0;24.9;;30090;GR901;;;
SA902;COXIM TRAS. TOYOTA COROLLA SUPERIOR +;5.0;0.0;19.7;;GR902;;;;
01576-11240-60158;INT. POLO 2.0 2002/2005 HACTH/SEDAN;1.0;0.0;385.2;C/40 ;11240T;60158W;VW0317M;;
SA904;COXIM TRAS. TOYOTA COROLLA 02/...ALTA;18.0;0.0;17.8;;MS30085;GR904;;;
SA912;COXIM INTER. HONDA CIVIC 06/ E   FIT 06/+;18.0;0.0;18.61;;;GR912;DV9790V;;
SA913;COXIM INTER.TRAS. ETIOS  2012/...+;38.0;0.0;14.0;;;GR913;DV9791V;;
SA920;COXIM INTER.TRAS. TR4++;46.0;0.0;15.0;;30074;GR920;;;
SA933;COXIM INTER. HONDA CIVIC 16/  CRV 16/+;24.0;0.0;19.0;;;GR925;DV9889V;;
SA935;COXIM INTER. TOYOTA COROLLA 02/...BAIXA++;39.0;0.0;14.7;;30084;GR905;DV9562V;;
SA936;COXIM TRAS. HONDA CIVIC/ FIT .../05 +;25.0;0.0;12.7;;30070;GR906;;;
SA937;COXIM INTER. HONDA CIVIC/ FIT .../05+;-8.0;0.0;18.9;;30071;GR907;;;
SA938;COXIM INTER. HONDA CIVIC/ FIT 06/...++;44.0;0.0;32.0;;MS30073;GR911;;;
SA939;COXIM TRAS. HONDA CIVIC/ FIT 06/...;0.0;0.0;16.0;;;GR939;;;
01103-11324T;INT. PUMA;1.0;0.0;315.61;C/95;11324T;;;;
12314-12295T;"LUVA REDUÇÃO  Ø  4""  X  3""";1.0;0.0;223.6;E/12;;;;;
16A;LUVA ;0.0;0.0;187.2;;;;;;
52A;LUVA ;1.0;0.0;45.6;;;;;;
53A;LUVA ;1.0;0.0;54.88;;;;;;
12332SP-19114T;"LUVA  Ø 2"" X 2"" (50,80 ) x 200mm BOLSA/PONTA";2.0;0.0;79.55;;;;;;
12333SP;"LUVA  Ø 2.1/2"" X 2.1/ 2""(63,50)x 200mm BOLSA/PONTA";-3.0;0.0;75.92;;;;;;
12401SP;"CURVA 30°  Ø   1.3/4""    44,45mm ";5.0;0.0;100.55;;;;;;
12403SP;"CURVA 90°  Ø  1.3/4""    ";0.0;0.0;102.4;;;;;;
12404SP;"CURVA 30""  Ø   1.7/8     47,60MM ";1.0;0.0;110.55;E/12;;;;;
12405SP;CURVA 45°  Ø  1.7/8    47,60 mm ;2.0;0.0;107.55;E/12;;;;;
11428T;INT. GRAND SIENA 1.6 16V / PALIO ETORQ 11/13.;1.0;0.0;570.31;BA/2 ;11428T;20168W-NF;FT4434M;;
12406SP;CURVA 90°  Ø   1.7/8    47,60 mm;2.0;0.0;108.55;;;;;;
12407SP;"CURVA 30°  Ø   2""         50,80 mm";2.0;0.0;119.88;E/12;;;;;
12411SP;"CURVA 30°  Ø  2.1/2""   63,50 mm";0.0;0.0;196.55;E/12;;;;;
80740SP;TB EXT IX-35 2.0 16V 2010/2016 SONDA LD DIREITO;0.0;0.0;0.0;;;580798W;;;
12569T;CURVA 90°  Ø  3.1/2  1.55mm ;1.0;0.0;328.55;C/124;;;;;
12570-19487T;"CURVA 90°  Ø  4"" (101,6mm) x 1.95  x 1050mm";1.0;0.0;585.55;C/119 ;;;;;
12408SP-18200T;"CURVA 45°  Ø  2""     50,80mm  ";2.0;0.0;244.55;E/12;;;;;
12412-18201T;"CURVA 45°  Ø 2.1/2"" (63,50mm) x 400mm ";1.0;0.0;223.55;E/12;;;;;
18202T;"CURVA 45° Ø 3""  1,55 mm X 400 X 400";0.0;0.0;224.55;C/124;;;;;
18203T;"CURVA 45º Ø  4""  X 1,55MM PARA ADAPTAÇÃO";0.0;0.0;370.55;C/124;;;;;
11582T-20127WW;INT. STRADA WORK / EST/ ADV 1.6 8V 99/03;1.0;0.0;345.18;B/A - 16 *;11582T;20127W;FT4212M;;
12409-18204T;"CURVA 90°  Ø  2""  ";0.0;0.0;195.78;;;;;;
12410-18205T;"CURVA 90°  Ø  2.1/2""   ";2.0;0.0;151.97;E/12;;;;;
18206T;"CURVA 90°  Ø  3""  76,20mm x 500 x 1,55MM";1.0;0.0;167.2;C/124;;;;;
11904T-71411SP;TUBO TERM HILUX SW4 3.0 16V 04-2005/2012;1.0;0.0;540.4;C/90;;;;;
12330-19112T;"LUVA  Ø 1.3/4"" X 1.3/4 (44,4) X 300mm BOLSA/PONTA";2.0;0.0;74.55;;;;;;
12331-19113T;"LUVA  Ø 1.7/8"" X 1.7/8"" (47.60) x 200 BOLSA/PONTA";1.0;0.0;85.55;E/12;;;;;
12357SP;"LUVA REDUÇÃO Ø  2"" X  1.7/8"" 200mm";5.0;0.0;120.0;F/15;;;;;
10876T;INT. FORD KA 1.0 12V 2015/...... HATCH/SEDAN;1.0;0.0;594.05;F/7;10876T;;;;
19486T;"CURVA 90°  Ø  3""   76,20mm x 1000 x 1,55MM";1.0;0.0;450.55;C/114;;19486T;;;
705T-MB7202V;"LUVA REDUÇÃO  Ø  3  X  2.1/2""";1.0;0.0;195.0;;;;;;
01608-11617T;INT. UNO MILLE FIRE 1.0 8V 01/06;12.0;0.0;325.04;F/3 ;11617T;20109SP;FT4204M;;1950N
01675-11615-20131;INT. MAREA / WEEKEND 2.0 2.4 20V ...07;1.0;0.0;705.4;C/2 CIMA * ;11615T;20131W-NF;FT4612M;;
90919-02240;Bobina Ignição Toyota Corolla Fielder 1.6 2001 À 2;4.0;0.0;0.0;;;;;;
