Código;Item;Estoque;Reservas;Preço;Localização;Código Adicional 1;Código Adicional 2;Código Adicional 3;Código Adicional 4;Código Adicional 5
00777-10567T;SIL. CORSA SEDAN/WAGON /CLASSIC (OBS);2.0;0.0;328.16;A/2-5;10567T;41502W;GM2602T;;1844N
00777-41502W;SIL. CORSA SEDAN/WAGON/CLASSIC (OBS);12.0;0.0;302.45;A/2-5;10567T;41502W;GM2602T;;1844N
01645-11628T;INT. BRAVA 1.6 1.8 16V 00... INTEIRO 2 ABAFADORES;1.0;0.0;692.35;D/15 ;11628T;;FT4610M;;
00796-10558T;SIL. BLAZER 2.2 ...11/99 4CC MPF;1.0;0.0;1252.67;E/6;10558T;41157W;GM2670T;;
00798-10580T-41104SP;SIL. BLAZER 4.3 V6 96/99;1.0;0.0;1115.4;E/9 ;10580T;41104W;GM2812T;;
SA5006;ELETRODO ESAB E7018  2.55MM KG;0.0;0.0;0.0;C/66 ;07152;;;;
00806-21535;SIL. TEMPRA 2.0 16V ...94 VEJA 826A;0.0;0.0;0.0;C/82 827A *;;;;;
00812-361AT;SIL. FIORINO 94/...;1.0;0.0;365.01;B/4-5;361AT;21504W;FT4204T;;1952N
00820-363T;SIL. TIPO 1.6 95;1.0;0.0;512.12;F/5;;;;;
00822A-11544T;SIL. TEMPRA 2.0 8V 92/97 2 SUPORTES;1.0;0.0;587.6;C/70 ;;;;;
19026T-DV6401T;SIL. TOWNER 93/99 ;1.0;0.0;768.29;G/5 ;19026T;;DV6401T;;
00824-11548T-ML;SIL. PALIO 1.0 1.3 1.6++;5.0;0.0;355.17;A/3-5;11548T;21510W;FT4403T;;1978N
00824-21510W;SIL. PALIO 1.0 1.3 1.6 ;59.0;0.0;265.79;A/4-5;11548T;21510W;FT4403T;;1978N
01551-11410T;INT. GOL / VOYAGE GV 1.0 8V 09...;4.0;0.0;295.14;C/44;11410T;60178W;VW0422M;;
01648-20139W-FT4414M;INT. PALIO/ 1.6 16V ...SET/02 C/ FLANGE;1.0;0.0;499.05;D/5;11852T-NF;20139W;FT4414M;;
00827A-11539T;SIL. TEMPRA 2.0 16V 04/95 A 99;1.0;0.0;899.21;C/83;;;;;
00841-11558T;SIL. PALIO WEEK 1.5 1.6 1.8 e 1.8 ;3.0;0.0;545.28;C/125;11558T;21527W;FT4406T;;1983N
00841-21527W;SIL. PALIO WEEK 1.5 1.6 1.8  e 1.8 ;7.0;1.0;419.38;C/125;11558T;21527W;FT4406T;;1983N
00849-21538;SIL. TEMPRA WAGON 2.0;1.0;0.0;576.4;C/47 ;11606T;21538W;FT4611T;;
00858-11560T;SIL. SIENA 1.0 1.3 1.4 1.6 ...05;2.0;0.0;635.31;G/11 ;11560T;21502W;FT4407T;;1911AN
00858-21502W;SIL. SIENA 1.0 1.3 1.4 1.6 ...05;0.0;0.0;597.36;G/11 ;11560T;21502W;FT4407T;;1911AN
00898-11076;SIL. GOLF GLX/GTI 2.0 GLX/GTI ALEMÃO;1.0;0.0;402.82;C/73;11076T;61533W;VW0308T;;
00914-10064T;SIL. COURIER 1.0/1.3;3.0;0.0;542.8;C/48;10064T;51511W;FR3604T;;
FT4625T;SIL TORO 1.8 16V FLEX 2015/......;0.0;0.0;0.0;C/48;;;FT4625T;;
00916-10066T;SIL. COURIER 1.4 16V/1.6;2.0;0.0;525.27;A/3 - 1 CIMA;10066T;51512W;FR3605T;;
01649-11816T-20144SP;INT. PUNTO 1.4 8V 07/08 FIRE FLEX;6.0;0.0;405.03;D/3 *;11816T;20144W;FT4421M;;
